Match ID,Innings,Over,runs_in_over,wickets_in_over,balls_in_over,target_score,cum_runs_before_over,cum_wickets_before_over,cum_balls_before_over,overs_completed_before,balls_remaining_before_over,run_rate_so_far,runs_remaining,overs_remaining,req_run_rate,runs_last_over,runs_last_3_overs,wickets_last_3_overs,danger_over
336014,2,17,17,0,6,205,137,6,96,16,24,8.5625,68,3,22.666666666666668,12.0,38.0,1.0,1
336014,2,18,7,1,6,205,154,6,102,17,18,9.058823529411764,51,2,25.5,17.0,33.0,1.0,1
336014,2,19,11,0,6,205,161,7,108,18,12,8.944444444444445,44,1,44.0,7.0,36.0,1.0,0
336014,2,20,9,0,6,205,172,7,114,19,6,9.052631578947368,33,0,0.0,11.0,35.0,1.0,0
336018,1,1,1,0,6,157,0,0,0,0,120,0.0,157,19,8.263157894736842,0.0,0.0,0.0,0
336018,1,2,12,0,6,157,1,0,6,1,114,1.0,156,18,8.666666666666666,1.0,1.0,0.0,1
336018,1,3,5,1,6,157,13,0,12,2,108,6.5,144,17,8.470588235294118,12.0,13.0,0.0,1
336018,1,4,2,0,6,157,18,1,18,3,102,6.0,139,16,8.6875,5.0,18.0,1.0,0
336018,1,5,3,0,6,157,20,1,24,4,96,5.0,137,15,9.133333333333333,2.0,19.0,1.0,0
336018,1,6,5,1,6,157,23,1,30,5,90,4.6,134,14,9.571428571428571,3.0,10.0,1.0,1
336018,1,7,8,0,6,157,28,2,36,6,84,4.666666666666667,129,13,9.923076923076923,5.0,10.0,1.0,0
336018,1,8,6,0,6,157,36,2,42,7,78,5.142857142857143,121,12,10.083333333333334,8.0,16.0,1.0,0
336018,1,9,4,2,6,157,42,2,48,8,72,5.25,115,11,10.454545454545455,6.0,19.0,1.0,1
336018,1,10,11,0,6,157,46,4,54,9,66,5.111111111111111,111,10,11.1,4.0,18.0,2.0,0
336018,1,11,0,0,6,157,57,4,60,10,60,5.7,100,9,11.11111111111111,11.0,21.0,2.0,0
336018,1,12,9,0,6,157,57,4,66,11,54,5.181818181818182,100,8,12.5,0.0,15.0,2.0,0
336018,1,13,7,0,6,157,66,4,72,12,48,5.5,91,7,13.0,9.0,20.0,0.0,0
336018,1,14,10,0,6,157,73,4,78,13,42,5.615384615384615,84,6,14.0,7.0,16.0,0.0,0
336018,1,15,6,0,6,157,83,4,84,14,36,5.928571428571429,74,5,14.8,10.0,26.0,0.0,0
336018,1,16,13,0,6,157,89,4,90,15,30,5.933333333333334,68,4,17.0,6.0,23.0,0.0,1
336018,1,17,11,0,6,157,102,4,96,16,24,6.375,55,3,18.333333333333332,13.0,29.0,0.0,0
336018,1,18,14,0,6,157,113,4,102,17,18,6.647058823529412,44,2,22.0,11.0,30.0,0.0,1
336018,1,19,14,1,6,157,127,4,108,18,12,7.055555555555555,30,1,30.0,14.0,38.0,0.0,1
336018,1,20,15,1,6,157,141,5,114,19,6,7.421052631578948,16,0,0.0,14.0,39.0,1.0,1
336018,2,1,7,0,6,157,0,0,0,0,120,0.0,157,19,8.263157894736842,0.0,0.0,0.0,0
336018,2,2,12,0,6,157,7,0,6,1,114,7.0,150,18,8.333333333333334,7.0,7.0,0.0,1
336018,2,3,4,0,6,157,19,0,12,2,108,9.5,138,17,8.117647058823529,12.0,19.0,0.0,0
336018,2,4,14,0,6,157,23,0,18,3,102,7.666666666666667,134,16,8.375,4.0,23.0,0.0,1
336018,2,5,20,0,6,157,37,0,24,4,96,9.25,120,15,8.0,14.0,30.0,0.0,1
336018,2,6,21,0,6,157,57,0,30,5,90,11.4,100,14,7.142857142857143,20.0,38.0,0.0,1
336018,2,7,3,0,6,157,78,0,36,6,84,13.0,79,13,6.076923076923077,21.0,55.0,0.0,0
336018,2,8,3,1,6,157,81,0,42,7,78,11.571428571428571,76,12,6.333333333333333,3.0,44.0,0.0,1
336018,2,9,6,0,6,157,84,1,48,8,72,10.5,73,11,6.636363636363637,3.0,27.0,1.0,0
336018,2,10,17,0,6,157,90,1,54,9,66,10.0,67,10,6.7,6.0,12.0,1.0,1
336018,2,11,8,0,6,157,107,1,60,10,60,10.7,50,9,5.555555555555555,17.0,26.0,1.0,0
336018,2,12,5,0,6,157,115,1,66,11,54,10.454545454545455,42,8,5.25,8.0,31.0,0.0,0
336018,2,13,12,0,6,157,120,1,72,12,48,10.0,37,7,5.285714285714286,5.0,30.0,0.0,1
336018,2,14,26,0,5,157,132,1,78,13,42,10.153846153846153,25,6,4.166666666666667,12.0,25.0,0.0,1
336022,1,1,10,0,6,89,0,0,0,0,120,0.0,89,19,4.684210526315789,0.0,0.0,0.0,0
336022,1,2,4,0,6,89,10,0,6,1,114,10.0,79,18,4.388888888888889,10.0,10.0,0.0,0
336022,1,3,10,0,6,89,14,0,12,2,108,7.0,75,17,4.411764705882353,4.0,14.0,0.0,0
336022,1,4,9,0,6,89,24,0,18,3,102,8.0,65,16,4.0625,10.0,24.0,0.0,0
336022,1,5,13,0,6,89,33,0,24,4,96,8.25,56,15,3.7333333333333334,9.0,23.0,0.0,1
336022,1,6,22,0,6,89,46,0,30,5,90,9.2,43,14,3.0714285714285716,13.0,32.0,0.0,1
336022,1,7,7,1,6,89,68,0,36,6,84,11.333333333333334,21,13,1.6153846153846154,22.0,44.0,0.0,1
336022,1,8,13,0,6,89,75,1,42,7,78,10.714285714285714,14,12,1.1666666666666667,7.0,42.0,1.0,1
336022,1,9,16,1,6,89,88,1,48,8,72,11.0,1,11,0.09090909090909091,13.0,42.0,1.0,1
336022,1,10,11,0,6,89,104,2,54,9,66,11.555555555555555,-15,10,-1.5,16.0,36.0,2.0,0
